keys,en,fr,es,pt,de,it,ru,tr,pl,id,vi,uk,el
"[b]Chess pieces[/b]
JohnPablok's improved Cburnett set (CC0), based on a design by Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emoji & icons[/b]
All emojis designed by OpenMoji, the open-source emoji and icon project. License: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Typeface[/b]
OpenDyslexic: a free, dyslexia-friendly font.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Chess engine[/b]
Stockfish (GPL-3.0).

[b]Puzzles[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Built with[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Source & licenses[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Chess pieces[/b]
JohnPablok's improved Cburnett set (CC0), based on a design by Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emoji & icons[/b]
All emojis designed by OpenMoji, the open-source emoji and icon project. License: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Typeface[/b]
OpenDyslexic: a free, dyslexia-friendly font.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Chess engine[/b]
Stockfish (GPL-3.0).

[b]Puzzles[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Built with[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Source & licenses[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Pièces d'échecs[/b]
Le jeu Cburnett amélioré par JohnPablok (CC0), basé sur un design de Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emoji et icônes[/b]
Tous les emojis conçus par OpenMoji, le projet open source d'emojis et d'icônes. Licence : CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Police de caractères[/b]
OpenDyslexic : une police gratuite, adaptée à la dyslexie.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Moteur d'échecs[/b]
Stockfish (GPL-3.0).

[b]Puzzles[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Réalisé avec[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Source et licences[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Piezas de ajedrez[/b]
Conjunto mejorado de Cburnett por JohnPablok (CC0), basado en un diseño de Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emojis e iconos[/b]
Todos los emojis diseñados por OpenMoji, el proyecto de código abierto de emojis e iconos. Licencia: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Tipografía[/b]
OpenDyslexic: una fuente gratuita y adaptada a la dislexia.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Motor de ajedrez[/b]
Stockfish (GPL-3.0).

[b]Puzles[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Creado con[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Código fuente y licencias[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Peças de xadrez[/b]
Conjunto Cburnett aprimorado por JohnPablok (CC0), baseado em um design de Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emojis e ícones[/b]
Todos os emojis criados pela OpenMoji, o projeto de código aberto de emojis e ícones. Licença: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Fonte[/b]
OpenDyslexic: uma fonte gratuita e amigável para pessoas com dislexia.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Motor de xadrez[/b]
Stockfish (GPL-3.0).

[b]Quebra-cabeças[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Desenvolvido com[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Código-fonte e licenças[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Schachfiguren[/b]
JohnPablok's verbessertes Cburnett-Set (CC0), basierend auf einem Entwurf von Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emojis & Symbole[/b]
Alle Emojis gestaltet von OpenMoji, dem Open-Source-Projekt für Emojis und Symbole. Lizenz: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Schriftart[/b]
OpenDyslexic: eine kostenlose, legasthenikerfreundliche Schrift.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Schach-Engine[/b]
Stockfish (GPL-3.0).

[b]Rätsel[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Erstellt mit[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Quellcode & Lizenzen[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Pezzi degli scacchi[/b]
Set Cburnett migliorato da JohnPablok (CC0), basato su un design di Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emoji e icone[/b]
Tutte le emoji sono disegnate da OpenMoji, il progetto open-source di emoji e icone. Licenza: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Carattere tipografico[/b]
OpenDyslexic: un font gratuito, adatto ai dislessici.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Motore scacchistico[/b]
Stockfish (GPL-3.0).

[b]Puzzle[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Realizzato con[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Sorgente e licenze[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Шахматные фигуры[/b]
Улучшенный набор Cburnett от JohnPablok (CC0), основанный на дизайне Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Эмодзи и иконки[/b]
Все эмодзи созданы OpenMoji, проектом эмодзи и иконок с открытым исходным кодом. Лицензия: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Шрифт[/b]
OpenDyslexic: бесплатный шрифт, удобный для людей с дислексией.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Шахматный движок[/b]
Stockfish (GPL-3.0).

[b]Задачи[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Создано с помощью[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Исходный код и лицензии[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Satranç taşları[/b]
JohnPablok tarafından geliştirilen Cburnett seti (CC0), Colin M. L. Burnett'in tasarımına dayanır.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emoji ve simgeler[/b]
Tüm emojiler, açık kaynaklı emoji ve simge projesi OpenMoji tarafından tasarlanmıştır. Lisans: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Yazı tipi[/b]
OpenDyslexic: ücretsiz, disleksi dostu bir yazı tipi.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Satranç motoru[/b]
Stockfish (GPL-3.0).

[b]Bulmacalar[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Şununla geliştirildi[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Kaynak ve lisanslar[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Figury szachowe[/b]
Ulepszony zestaw Cburnett autorstwa JohnPablok (CC0), oparty na projekcie Colina M. L. Burnetta.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emoji i ikony[/b]
Wszystkie emoji zaprojektowane przez OpenMoji, projekt emoji i ikon o otwartym kodzie. Licencja: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Krój pisma[/b]
OpenDyslexic: darmowa czcionka przyjazna osobom z dysleksją.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Silnik szachowy[/b]
Stockfish (GPL-3.0).

[b]Zagadki[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Zbudowano przy użyciu[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Kod źródłowy i licencje[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Buah catur[/b]
Set Cburnett yang disempurnakan oleh JohnPablok (CC0), berdasarkan desain oleh Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emoji & ikon[/b]
Semua emoji dirancang oleh OpenMoji, proyek emoji dan ikon sumber terbuka. Lisensi: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Jenis huruf[/b]
OpenDyslexic: font gratis yang ramah bagi penyandang disleksia.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Mesin catur[/b]
Stockfish (GPL-3.0).

[b]Teka-teki[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Dibuat dengan[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Sumber & lisensi[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Quân cờ[/b]
Bộ quân cải tiến của JohnPablok dựa trên bộ Cburnett (CC0), dựa theo thiết kế của Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emoji và biểu tượng[/b]
Toàn bộ emoji được thiết kế bởi OpenMoji, dự án emoji và biểu tượng mã nguồn mở. Giấy phép: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Phông chữ[/b]
OpenDyslexic: phông chữ miễn phí, thân thiện với người mắc chứng khó đọc.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Bộ máy cờ[/b]
Stockfish (GPL-3.0).

[b]Câu đố[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Xây dựng bằng[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Mã nguồn và giấy phép[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Шахові фігури[/b]
Покращений набір Cburnett від JohnPablok (CC0), заснований на дизайні Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Емодзі та іконки[/b]
Усі емодзі створені OpenMoji, проєктом емодзі та іконок з відкритим кодом. Ліцензія: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Шрифт[/b]
OpenDyslexic: безкоштовний шрифт, зручний для людей з дислексією.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Шаховий рушій[/b]
Stockfish (GPL-3.0).

[b]Задачі[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Створено за допомогою[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Джерело та ліцензії[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]","[b]Πιόνια σκακιού[/b]
Το βελτιωμένο σετ Cburnett του JohnPablok (CC0), βασισμένο σε σχεδιασμό του Colin M. L. Burnett.
[url=https://opengameart.org/content/chess-pieces-and-board-squares]opengameart.org[/url]

[b]Emoji & εικονίδια[/b]
Όλα τα emoji σχεδιάστηκαν από το OpenMoji, το ανοιχτού κώδικα έργο emoji και εικονιδίων. Άδεια: CC BY-SA 4.0.
[url=https://openmoji.org]openmoji.org[/url]

[b]Γραμματοσειρά[/b]
OpenDyslexic: μια δωρεάν, φιλική προς τη δυσλεξία γραμματοσειρά.
[url=https://opendyslexic.org]opendyslexic.org[/url]

[b]Μηχανή σκακιού[/b]
Stockfish (GPL-3.0).

[b]Γρίφοι[/b]
Lichess Open Database (CC0).
[url=https://database.lichess.org]database.lichess.org[/url]

[b]Φτιαγμένο με[/b]
Godot Engine (MIT). [url=https://godotengine.org]godotengine.org[/url]

[b]Πηγαίος κώδικας & άδειες[/b]
[url=https://github.com/Hatscat/limpidchess]https://github.com/Hatscat/limpidchess[/url]"
~%d,~%d,~%d,~%d,~%d,~%d,~%d,~%d,~%d,~%d,~%d,~%d,~%d,~%d
★ Best move!,★ Best move!,★ Meilleur coup !,★ ¡Mejor movimiento!,★ Melhor lance!,★ Bester Zug!,★ Mossa migliore!,★ Лучший ход!,★ En iyi hamle!,★ Najlepszy ruch!,★ Langkah terbaik!,★ Nước đi hay nhất!,★ Найкращий хід!,★ Καλύτερη κίνηση!
Move,Move,Coup,Jugada,Lance,Zug,Mossa,Ход,Hamle,Ruch,Langkah,Nước đi,Хід,Κίνηση
You,You,Vous,Tú,Você,Du,Tu,Вы,Sen,Ty,Kamu,Bạn,Ви,Εσύ
Opening,Opening,Ouverture,Apertura,Abertura,Eröffnung,Apertura,Дебют,Açılış,Otwarcie,Pembukaan,Khai cuộc,Дебют,Άνοιγμα
Prev,Prev,Précédent,Anterior,Ant.,Zurück,Prec,Назад,Önceki,Wstecz,Sebelumnya,Trước,Назад,Προηγ.
Next,Next,Suivant,Siguiente,Próx.,Weiter,Succ,Вперёд,Sonraki,Dalej,Berikutnya,Tiếp,Далі,Επόμ.
Best replies,Best replies,Meilleures réponses,Mejores respuestas,Melhores respostas,Beste Antworten,Migliori risposte,Лучшие ответы,En iyi yanıtlar,Najlepsze odpowiedzi,Balasan terbaik,Nước đáp hay nhất,Найкращі відповіді,Καλύτερες απαντήσεις
Best replies: %s,Best replies: %s,Meilleures réponses : %s,Mejores respuestas: %s,Melhores respostas: %s,Beste Antworten: %s,Migliori risposte: %s,Лучшие ответы: %s,En iyi yanıtlar: %s,Najlepsze odpowiedzi: %s,Balasan terbaik: %s,Nước đáp hay nhất: %s,Найкращі відповіді: %s,Καλύτερες απαντήσεις: %s
Your move: %s,Your move: %s,Ton coup : %s,Tu jugada: %s,Seu lance: %s,Dein Zug: %s,La tua mossa: %s,Ваш ход: %s,Senin hamlen: %s,Twój ruch: %s,Langkahmu: %s,Nước của bạn: %s,Ваш хід: %s,Η κίνησή σου: %s
This move: %s,This move: %s,Ce coup : %s,Esta jugada: %s,Este lance: %s,Dieser Zug: %s,Questa mossa: %s,Этот ход: %s,Bu hamle: %s,Ten ruch: %s,Langkah ini: %s,Nước này: %s,Цей хід: %s,Αυτή η κίνηση: %s
Analyzing…,Analyzing…,Analyse…,Analizando…,Analisando…,Analysiere…,Analisi…,Анализ…,Analiz ediliyor…,Analizuję…,Menganalisis…,Đang phân tích…,Аналізую…,Ανάλυση…
Out of free games today,Out of free games today,Plus de parties gratuites aujourd'hui,No quedan partidas gratis hoy,Sem jogos grátis hoje,Keine Gratispartien mehr heute,Partite gratuite finite per oggi,Бесплатные игры на сегодня кончились,Bugünkü ücretsiz oyunların bitti,Koniec darmowych gier na dziś,Permainan gratis hari ini habis,Hết lượt chơi miễn phí hôm nay,Безкоштовні ігри на сьогодні закінчились,Τέλος τα δωρεάν παιχνίδια για σήμερα
Your free games come back tomorrow and every day.,Your free games come back tomorrow and every day.,Les parties gratuites reviennent demain et chaque jour.,Las partidas gratis vuelven mañana y cada día.,Seus jogos grátis voltam amanhã e todos os dias.,Deine Gratispartien kommen morgen und jeden Tag zurück.,Le tue partite gratuite tornano domani e ogni giorno.,Бесплатные игры вернутся завтра и каждый день.,Ücretsiz oyunların yarın ve her gün geri gelir.,Darmowe gry wracają jutro i każdego dnia.,Permainan gratismu kembali besok dan setiap hari.,Lượt chơi miễn phí sẽ trở lại vào ngày mai và mỗi ngày.,Безкоштовні ігри повертаються завтра і щодня.,Τα δωρεάν παιχνίδια σου επιστρέφουν αύριο και κάθε μέρα.
Get Premium,Get Premium,Passer Premium,Hazte Premium,Obter Premium,Premium holen,Passa a Premium,Купить Премиум,Premium Al,Kup Premium,Dapatkan Premium,Mua Premium,Отримати Premium,Απόκτησε Premium
Got it,Got it,Compris,Entendido,Entendi,Verstanden,Ho capito,Понятно,Anladım,Rozumiem,Mengerti,Đã hiểu,Зрозуміло,Εντάξει
Out of free reviews today,Out of free reviews today,Plus d'analyses gratuites aujourd'hui,No quedan análisis gratis hoy,Sem análises grátis hoje,Keine Gratis-Analysen mehr heute,Analisi gratuite finite per oggi,Бесплатные разборы на сегодня кончились,Bugünkü ücretsiz incelemelerin bitti,Koniec darmowych analiz na dziś,Ulasan gratis hari ini habis,Hết lượt phân tích miễn phí hôm nay,Безкоштовні розбори на сьогодні закінчились,Τέλος οι δωρεάν αναλύσεις για σήμερα
Free players get 1 game review a day. It comes back tomorrow!,Free players get 1 game review a day. It comes back tomorrow!,Les joueurs gratuits ont 1 analyse de partie par jour. Elle revient demain !,Los jugadores gratis tienen 1 análisis de partida al día. Vuelve mañana.,Jogadores grátis têm 1 análise de jogo por dia. Ela volta amanhã!,Gratisspieler erhalten 1 Partie-Analyse pro Tag. Sie kommt morgen zurück!,I giocatori gratuiti hanno 1 analisi di partita al giorno. Torna domani!,Бесплатно доступен 1 разбор игры в день. Он вернётся завтра!,Ücretsiz oyuncular günde 1 oyun incelemesi alır. Yarın geri gelir!,Gracze darmowi mają 1 analizę gry dziennie. Wraca jutro!,Pemain gratis mendapat 1 ulasan permainan sehari. Kembali besok!,Người chơi miễn phí được 1 lượt phân tích ván mỗi ngày. Sẽ có lại vào ngày mai!,Безкоштовно доступний 1 розбір гри на день. Повернеться завтра!,Οι δωρεάν παίκτες έχουν 1 ανάλυση παιχνιδιού τη μέρα. Επιστρέφει αύριο!
✓   Unlimited game reviews,✓   Unlimited game reviews,✓   Analyses de partie illimitées,✓   Análisis de partidas ilimitados,✓   Análises de jogo ilimitadas,✓   Unbegrenzte Partie-Analysen,✓   Analisi di partita illimitate,✓   Безлимитные разборы игр,✓   Sınırsız oyun incelemesi,✓   Nielimitowane analizy gier,✓   Ulasan permainan tanpa batas,✓   Phân tích ván không giới hạn,✓   Необмежені розбори ігор,✓   Απεριόριστες αναλύσεις παιχνιδιών
"✓   No ads. Not now, not ever","✓   No ads. Not now, not ever",✓   Jamais de pub,"✓   Sin anuncios. Nunca, jamás","✓   Sem anúncios. Nem agora, nem nunca","✓   Keine Werbung. Jetzt nicht, niemals","✓   Niente pubblicità. Né ora, né mai",✓   Без рекламы. Никогда,"✓   Reklam yok. Ne şimdi, ne de sonra","✓   Bez reklam. Ani teraz, ani nigdy","✓   Tanpa iklan. Tidak sekarang, tidak selamanya","✓   Không quảng cáo. Bây giờ không, mãi mãi cũng không","✓   Без реклами. Ні зараз, ні будь-коли","✓   Χωρίς διαφημίσεις. Ούτε τώρα, ούτε ποτέ"
✓   Face to Face on one device,✓   Face to Face on one device,✓   Face à face sur un appareil,✓   Cara a cara en un dispositivo,✓   Frente a Frente em um dispositivo,✓   Zu zweit auf einem Gerät,✓   Faccia a Faccia su un dispositivo,✓   Лицом к лицу на одном устройстве,✓   Tek cihazda Yüz Yüze,✓   Twarzą w twarz na jednym urządzeniu,✓   Tatap Muka di satu perangkat,✓   Đối mặt trên một thiết bị,✓   Віч-на-віч на одному пристрої,✓   Πρόσωπο με Πρόσωπο σε μία συσκευή
✓   Support a solo indie dev,✓   Support a solo indie dev,✓   Soutient un développeur indépendant,✓   Apoya a un desarrollador indie,✓   Apoie um dev indie solo,✓   Unterstütze einen Solo-Indie-Entwickler,✓   Sostieni uno sviluppatore indie,✓   Поддержите инди-разработчика,✓   Bağımsız bir geliştiriciyi destekle,✓   Wesprzyj niezależnego twórcę,✓   Dukung pengembang indie solo,✓   Ủng hộ một nhà phát triển indie,✓   Підтримати інді-розробника,✓   Στήριξε έναν ανεξάρτητο δημιουργό
✓   Unlimited games every day,✓   Unlimited games every day,✓   Parties illimitées tous les jours,✓   Juegos ilimitados todos los días,✓   Jogos ilimitados todos os dias,✓   Unbegrenzte Partien jeden Tag,✓   Partite illimitate ogni giorno,✓   Безлимитные игры каждый день,✓   Her gün sınırsız oyun,✓   Nielimitowane gry każdego dnia,✓   Permainan tanpa batas setiap hari,✓   Số ván không giới hạn mỗi ngày,✓   Необмежені ігри щодня,✓   Απεριόριστα παιχνίδια κάθε μέρα
✓   Unlock all bots,✓   Unlock all bots,✓   Débloque tous les bots,✓   Desbloquea todos los bots,✓   Desbloqueie todos os bots,✓   Alle Bots freischalten,✓   Sblocca tutti i bot,✓   Откройте всех ботов,✓   Tüm botların kilidini aç,✓   Odblokuj wszystkie boty,✓   Buka semua bot,✓   Mở khóa mọi bot,✓   Відкрити всіх ботів,✓   Ξεκλείδωσε όλα τα bot
✓ You're Premium. Thank you!,✓ You're Premium. Thank you!,✓ Vous êtes Premium. Merci !,✓ Eres Premium. ¡Gracias!,✓ Você é Premium. Obrigado!,✓ Du bist Premium. Danke!,✓ Sei Premium. Grazie!,✓ У вас Премиум. Спасибо!,✓ Premium'sun. Teşekkürler!,✓ Masz Premium. Dziękujemy!,✓ Kamu Premium. Terima kasih!,✓ Bạn đã là Premium. Cảm ơn bạn!,✓ У вас Premium. Дякуємо!,✓ Είσαι Premium. Ευχαριστούμε!
%s resigned,%s resigned,%s abandonnent,%s abandonan,%s abandonou,%s hat aufgegeben,%s ha abbandonato,%s сдался,%s terk etti,%s poddaje się,%s menyerah,%s đã đầu hàng,%s здався,%s παραιτήθηκε
Gentle. Tends to daydream.,Gentle. Tends to daydream.,Doux. A tendance à rêvasser.,Dócil. Suele soñar despierto.,Gentil. Costuma sonhar acordado.,Sanft. Träumt gern vor sich hin.,Gentile. Tende a distrarsi.,Мягкий. Витает в облаках.,Nazik. Hayal kurmaya meyilli.,Łagodny. Lubi bujać w obłokach.,Lembut. Suka melamun.,Hiền lành. Hay mơ mộng.,Лагідний. Часто витає у хмарах.,Ήπιος. Συχνά ονειροπολεί.
Smarter than he looks.,Smarter than he looks.,Plus malin qu'il en a l'air.,Más listo de lo que parece.,Mais esperto do que parece.,Klüger als er aussieht.,Più furbo di quel che sembra.,"Умнее, чем кажется.",Göründüğünden daha zeki.,Mądrzejszy niż wygląda.,Lebih pintar dari kelihatannya.,Thông minh hơn vẻ bề ngoài.,"Розумніший, ніж здається.","Πιο έξυπνος απ' ό,τι δείχνει."
Processing…,Processing…,Traitement…,Procesando…,Processando…,Verarbeite…,Elaborazione…,Обработка…,İşleniyor…,Przetwarzanie…,Memproses…,Đang xử lý…,Обробка…,Επεξεργασία…
Checking your purchases…,Checking your purchases…,Vérification de vos achats…,Comprobando tus compras…,Verificando suas compras…,Prüfe deine Käufe…,Controllo degli acquisti…,Проверка покупок…,Satın alımların kontrol ediliyor…,Sprawdzam zakupy…,Memeriksa pembelianmu…,Đang kiểm tra giao dịch của bạn…,Перевіряю ваші покупки…,Έλεγχος των αγορών σου…
✓ Purchase restored. Thank you!,✓ Purchase restored. Thank you!,✓ Achat restauré. Merci !,✓ Compra restaurada. ¡Gracias!,✓ Compra restaurada. Obrigado!,✓ Kauf wiederhergestellt. Danke!,✓ Acquisto ripristinato. Grazie!,✓ Покупка восстановлена. Спасибо!,✓ Satın alım geri yüklendi. Teşekkürler!,✓ Zakup przywrócony. Dziękujemy!,✓ Pembelian dipulihkan. Terima kasih!,✓ Đã khôi phục giao dịch. Cảm ơn bạn!,✓ Покупку відновлено. Дякуємо!,✓ Η αγορά αποκαταστάθηκε. Ευχαριστούμε!
No purchase found to restore.,No purchase found to restore.,Aucun achat à restaurer.,No hay ninguna compra que restaurar.,Nenhuma compra encontrada para restaurar.,Kein Kauf zum Wiederherstellen gefunden.,Nessun acquisto da ripristinare.,Покупок для восстановления не найдено.,Geri yüklenecek satın alım bulunamadı.,Nie znaleziono zakupu do przywrócenia.,Tidak ada pembelian untuk dipulihkan.,Không tìm thấy giao dịch để khôi phục.,Не знайдено покупок для відновлення.,Δεν βρέθηκε αγορά για αποκατάσταση.
Purchases aren't available right now.,Purchases aren't available right now.,Les achats ne sont pas disponibles pour le moment.,Las compras no están disponibles ahora mismo.,As compras não estão disponíveis agora.,Käufe sind gerade nicht verfügbar.,Gli acquisti non sono disponibili al momento.,Покупки сейчас недоступны.,Satın alımlar şu anda kullanılamıyor.,Zakupy są teraz niedostępne.,Pembelian tidak tersedia saat ini.,Hiện không thể mua hàng lúc này.,Покупки зараз недоступні.,Οι αγορές δεν είναι διαθέσιμες αυτή τη στιγμή.
The purchase could not be completed.,The purchase could not be completed.,L'achat n'a pas pu être effectué.,No se pudo completar la compra.,Não foi possível concluir a compra.,Der Kauf konnte nicht abgeschlossen werden.,Impossibile completare l'acquisto.,Не удалось завершить покупку.,Satın alım tamamlanamadı.,Nie udało się dokończyć zakupu.,Pembelian tidak dapat diselesaikan.,Không thể hoàn tất giao dịch.,Не вдалося завершити покупку.,Η αγορά δεν ολοκληρώθηκε.
Start a fresh game?,Start a fresh game?,Lancer une nouvelle partie ?,¿Empezar una nueva partida?,Começar um novo jogo?,Neue Partie starten?,Iniziare una nuova partita?,Начать новую игру?,Yeni bir oyun başlat?,Zacząć nową grę?,Mulai permainan baru?,Bắt đầu ván mới?,Почати нову гру?,Να ξεκινήσεις νέο παιχνίδι;
Resign and start a new game?,Resign and start a new game?,Abandonner et lancer une nouvelle partie ?,¿Abandonar y empezar una nueva partida?,Abandonar e começar um novo jogo?,Aufgeben und neue Partie starten?,Abbandonare e iniziare una nuova partita?,Сдаться и начать новую игру?,Terk edip yeni bir oyun başlat?,Poddać się i zacząć nową grę?,Menyerah dan mulai permainan baru?,Đầu hàng và bắt đầu ván mới?,Здатися і почати нову гру?,Να παραιτηθείς και να ξεκινήσεις νέο παιχνίδι;
Your free games are back!,Your free games are back!,Tes parties gratuites sont de retour !,¡Tus partidas gratis han vuelto!,Seus jogos grátis voltaram!,Deine Gratispartien sind zurück!,Le tue partite gratuite sono tornate!,Бесплатные игры снова доступны!,Ücretsiz oyunların geri geldi!,Twoje darmowe gry wróciły!,Permainan gratismu kembali!,Lượt chơi miễn phí đã trở lại!,Ваші безкоштовні ігри повернулись!,Τα δωρεάν παιχνίδια σου επέστρεψαν!
Come back and find the best move.,Come back and find the best move.,Reviens trouver le meilleur coup.,Vuelve y encuentra la mejor jugada.,Volte e encontre o melhor lance.,Komm zurück und finde den besten Zug.,Torna e trova la mossa migliore.,Возвращайтесь и найдите лучший ход.,Geri gel ve en iyi hamleyi bul.,Wróć i znajdź najlepszy ruch.,Kembali dan temukan langkah terbaik.,Quay lại và tìm nước đi hay nhất.,Повертайтеся і знайдіть найкращий хід.,Έλα να βρεις την καλύτερη κίνηση.
Do you enjoy the game?,Do you enjoy the game?,Vous aimez le jeu ?,¿Te gusta el juego?,Está gostando do jogo?,Gefällt dir das Spiel?,Ti piace il gioco?,Нравится игра?,Oyundan keyif alıyor musun?,Podoba Ci się gra?,Apakah kamu suka permainannya?,Bạn có thích trò chơi này không?,Вам подобається гра?,Σου αρέσει το παιχνίδι;
